Sample.ID,Plot_name,vcf_ID,Region,Ecotype,Wild.Sel,Shape,Pop,Sampling.Site,Lat,Long,Temp_C,Sal_ppt,Sampling.Date,Contact,Length_mm,Sex,Tissues,NOTES,Mean_Annual_Temperature_Celsius,Max_temperature_Celsius,Min_temperature_Celsius,Mean_Annual_Salinity_ppt,dd_0,dd_15,dd_30,Dermo_pressure_since_year,Dermo_pressure,MSX_pressure_since_year,MSX_pressure,Generations_selection,History_of_Introgression,Frequency_of_outbreeding,Number_generations_outbred,Outbreeding_populations,salinity_selection,disease_selection,size_selection,Selection_description,Population_origin_wild,Population_selection_location,Details_notes,Shape,Color
OBOYS2_3,LA-OBOY,OBOYS2_3,Louisiana,High,S,,OBOYS2,"Calcasieu Lake, LA",29.815556,-93.348889,13.1,22,unknown,Jerome La Peyre,122,M,"A,M,G","polydora in shell, meats dry not a lot of hemolymph, very hard to shuck",22.22,31.52,9.99,18.3,0,42.8,218.5,1960,medium,none,none,3,unknown,unknown,unknown,unknown,High_salinity,survival_dermo_field_lab,large_oysters,"The oyster stock named •OBOYê, selectively bred for dermo-resis-
tance in Grand Isle, consists of the descendants of large oysters, collect- ed in 1999, from a dermo endemic area (i.e., Oyster Bayou, Cameron Parish, 29.7941çN; 93.3872çW). The stock progeny has been challenged in the field (F0) and in the laboratory (F1 and F2) with P. marinus for two subsequent generations (Leonhardt et al., 2017).","Oyster Bayou, Cameron Parish, LA","Grand Isle, LA",salinity in ppt,,
OBOYS2_4,LA-OBOY,OBOYS2_4,Louisiana,High,S,,OBOYS2,"Calcasieu Lake, LA",29.815556,-93.348889,13.1,22,unknown,Jerome La Peyre,127,M,"A,M,G","polydora in shell, meats dry not a lot of hemolymph, very hard to shuck",22.22,31.52,9.99,18.3,0,42.8,218.5,1960,medium,none,none,3,unknown,unknown,unknown,unknown,High_salinity,survival_dermo_field_lab,large_oysters,"The oyster stock named •OBOYê, selectively bred for dermo-resis-
tance in Grand Isle, consists of the descendants of large oysters, collect- ed in 1999, from a dermo endemic area (i.e., Oyster Bayou, Cameron Parish, 29.7941çN; 93.3872çW). The stock progeny has been challenged in the field (F0) and in the laboratory (F1 and F2) with P. marinus for two subsequent generations (Leonhardt et al., 2017).","Oyster Bayou, Cameron Parish, LA","Grand Isle, LA",salinity in ppt,,
OBOYS2_5,LA-OBOY,OBOYS2_5,Louisiana,High,S,,OBOYS2,"Calcasieu Lake, LA",29.815556,-93.348889,13.1,22,unknown,Jerome La Peyre,144,F,"A,M,G","polydora in shell, meats dry not a lot of hemolymph, very hard to shuck",22.22,31.52,9.99,18.3,0,42.8,218.5,1960,medium,none,none,3,unknown,unknown,unknown,unknown,High_salinity,survival_dermo_field_lab,large_oysters,"The oyster stock named •OBOYê, selectively bred for dermo-resis-
tance in Grand Isle, consists of the descendants of large oysters, collect- ed in 1999, from a dermo endemic area (i.e., Oyster Bayou, Cameron Parish, 29.7941çN; 93.3872çW). The stock progeny has been challenged in the field (F0) and in the laboratory (F1 and F2) with P. marinus for two subsequent generations (Leonhardt et al., 2017).","Oyster Bayou, Cameron Parish, LA","Grand Isle, LA",salinity in ppt,,
OBOYS2_6,LA-OBOY,OBOYS2_6,Louisiana,High,S,,OBOYS2,"Calcasieu Lake, LA",29.815556,-93.348889,13.1,22,unknown,Jerome La Peyre,128,F,"A,M,G","polydora in shell, meats dry not a lot of hemolymph, very hard to shuck",22.22,31.52,9.99,18.3,0,42.8,218.5,1960,medium,none,none,3,unknown,unknown,unknown,unknown,High_salinity,survival_dermo_field_lab,large_oysters,"The oyster stock named •OBOYê, selectively bred for dermo-resis-
tance in Grand Isle, consists of the descendants of large oysters, collect- ed in 1999, from a dermo endemic area (i.e., Oyster Bayou, Cameron Parish, 29.7941çN; 93.3872çW). The stock progeny has been challenged in the field (F0) and in the laboratory (F1 and F2) with P. marinus for two subsequent generations (Leonhardt et al., 2017).","Oyster Bayou, Cameron Parish, LA","Grand Isle, LA",salinity in ppt,,
DEBY_1,CB-DEBY,DEBY_1,Chesapeake Bay,High,S,,DEBY,"York River, VA",37.248056,-76.497118,22.17,30.02,unknown,Jessica Small,99,F,"A,M,G",polydora in shell,20.14,37.2,-1.2,17.51,0.1,39.9,231.9,1960,High,1960,High,10,"Louisiana, wild Chesapeake Bay introduced to lines between 1998 and 2004 (Frank-Lawale 2014)",between 1998 and 2004,"between 1998 and 2004, exact number unknown",Louisiana and wild Chesapeake Bay,moderate_salinity,survival_dermo_MSX_field,large_oysters,"Moderate salinity selection (18-23ppt),  4 generations of selection in the Chesapeake Bay for survival to Dermo and MSX before 2016 year class. Prior selection in the Delaware Bay but details unknown.",Wild Delaware Bay,"York River, Lynnhaver River, VA",none,,
DEBY_2,CB-DEBY,DEBY_2,Chesapeake Bay,High,S,,DEBY,"York River, VA",37.248056,-76.497118,22.17,30.02,unknown,Jessica Small,100,undetermined,"A,M,G",polydora in shell,20.14,37.2,-1.2,17.51,0.1,39.9,231.9,1960,High,1960,High,10,"Louisiana, wild Chesapeake Bay introduced to lines between 1998 and 2004 (Frank-Lawale 2014)",between 1998 and 2005,"between 1998 and 2004, exact number unknown",Louisiana and wild Chesapeake Bay,moderate_salinity,survival_dermo_MSX_field,large_oysters,"Moderate salinity selection (18-23ppt),  4 generations of selection in the Chesapeake Bay for survival to Dermo and MSX before 2016 year class. Prior selection in the Delaware Bay but details unknown.",Wild Delaware Bay,"York River, Lynnhaver River, VA",none,,
DEBY_3,CB-DEBY,DEBY_3,Chesapeake Bay,High,S,,DEBY,"York River, VA",37.248056,-76.497118,22.17,30.02,unknown,Jessica Small,118,F,"A,M,G",polydora in shell,20.14,37.2,-1.2,17.51,0.1,39.9,231.9,1960,High,1960,High,10,"Louisiana, wild Chesapeake Bay introduced to lines between 1998 and 2004 (Frank-Lawale 2014)",between 1998 and 2006,"between 1998 and 2004, exact number unknown",Louisiana and wild Chesapeake Bay,moderate_salinity,survival_dermo_MSX_field,large_oysters,"Moderate salinity selection (18-23ppt),  4 generations of selection in the Chesapeake Bay for survival to Dermo and MSX before 2016 year class. Prior selection in the Delaware Bay but details unknown.",Wild Delaware Bay,"York River, Lynnhaver River, VA",none,,
DEBY_4,CB-DEBY,DEBY_4,Chesapeake Bay,High,S,,DEBY,"York River, VA",37.248056,-76.497118,22.17,30.02,unknown,Jessica Small,115,undetermined,"A,M,G",polydora in shell,20.14,37.2,-1.2,17.51,0.1,39.9,231.9,1960,High,1960,High,10,"Louisiana, wild Chesapeake Bay introduced to lines between 1998 and 2004 (Frank-Lawale 2014)",between 1998 and 2007,"between 1998 and 2004, exact number unknown",Louisiana and wild Chesapeake Bay,moderate_salinity,survival_dermo_MSX_field,large_oysters,"Moderate salinity selection (18-23ppt),  4 generations of selection in the Chesapeake Bay for survival to Dermo and MSX before 2016 year class. Prior selection in the Delaware Bay but details unknown.",Wild Delaware Bay,"York River, Lynnhaver River, VA",none,,
DEBY_5,CB-DEBY,DEBY_5,Chesapeake Bay,High,S,,DEBY,"York River, VA",37.248056,-76.497118,22.17,30.02,unknown,Jessica Small,85,undetermined,"A,M,G",polydora in shell,20.14,37.2,-1.2,17.51,0.1,39.9,231.9,1960,High,1960,High,10,"Louisiana, wild Chesapeake Bay introduced to lines between 1998 and 2004 (Frank-Lawale 2014)",between 1998 and 2008,"between 1998 and 2004, exact number unknown",Louisiana and wild Chesapeake Bay,moderate_salinity,survival_dermo_MSX_field,large_oysters,"Moderate salinity selection (18-23ppt),  4 generations of selection in the Chesapeake Bay for survival to Dermo and MSX before 2016 year class. Prior selection in the Delaware Bay but details unknown.",Wild Delaware Bay,"York River, Lynnhaver River, VA",none,,
DEBY_6,CB-DEBY,DEBY_6,Chesapeake Bay,High,S,,DEBY,"York River, VA",37.248056,-76.497118,22.17,30.02,unknown,Jessica Small,79,undetermined,"A,M,G",polydora in shell,20.14,37.2,-1.2,17.51,0.1,39.9,231.9,1960,High,1960,High,10,"Louisiana, wild Chesapeake Bay introduced to lines between 1998 and 2004 (Frank-Lawale 2014)",between 1998 and 2009,"between 1998 and 2004, exact number unknown",Louisiana and wild Chesapeake Bay,moderate_salinity,survival_dermo_MSX_field,large_oysters,"Moderate salinity selection (18-23ppt),  4 generations of selection in the Chesapeake Bay for survival to Dermo and MSX before 2016 year class. Prior selection in the Delaware Bay but details unknown.",Wild Delaware Bay,"York River, Lynnhaver River, VA",none,,
HC_VA_1,CB-HSHC,HC_VA_1,Chesapeake Bay,High,W,,Hummock Cove,Chesapeake Bay,37.618313,-75.664381,20.04,20.23,unknown,Jessica Small,52,undetermined,"A,M,G",too small to sex,16.87,50,-4.2,19.31,0.1,57.3,253.7,1960,High,1960,High,none,none,none,none,none,none,none,none,none,wild,none,none,,
HC_VA_2,CB-HSHC,HC_VA_2,Chesapeake Bay,High,W,,Hummock Cove,Chesapeake Bay,37.618313,-75.664381,20.04,20.23,unknown,Jessica Small,48,undetermined,"A,M,G",too small to sex,16.87,50,-4.2,19.31,0.1,57.3,253.7,1960,High,1960,High,none,none,none,none,none,none,none,none,none,wild,none,none,,
HC_VA_3,CB-HSHC,HC_VA_3,Chesapeake Bay,High,W,,Hummock Cove,Chesapeake Bay,37.618313,-75.664381,20.04,20.23,unknown,Jessica Small,42,undetermined,"A,M,G",too small to sex,16.87,50,-4.2,19.31,0.1,57.3,253.7,1960,High,1960,High,none,none,none,none,none,none,none,none,none,wild,none,none,,
HC_VA_4,CB-HSHC,HC_VA_4,Chesapeake Bay,High,W,,Hummock Cove,Chesapeake Bay,37.618313,-75.664381,20.04,20.23,unknown,Jessica Small,60,undetermined,"A,M,G",too small to sex,16.87,50,-4.2,19.31,0.1,57.3,253.7,1960,High,1960,High,none,none,none,none,none,none,none,none,none,wild,none,none,,
HC_VA_5,CB-HSHC,HC_VA_5,Chesapeake Bay,High,W,,Hummock Cove,Chesapeake Bay,37.618313,-75.664381,20.04,20.23,unknown,Jessica Small,48,undetermined,"A,M,G",too small to sex,16.87,50,-4.2,19.31,0.1,57.3,253.7,1960,High,1960,High,none,none,none,none,none,none,none,none,none,wild,none,none,,
HC_VA_6,CB-HSHC,HC_VA_6,Chesapeake Bay,High,W,,Hummock Cove,Chesapeake Bay,37.618313,-75.664381,20.04,20.23,unknown,Jessica Small,52,undetermined,"A,M,G",too small to sex,16.87,50,-4.2,19.31,0.1,57.3,253.7,1960,High,1960,High,none,none,none,none,none,none,none,none,none,wild,none,none,,
LOLA_1,CB-LOLA,LOLA_1,Chesapeake Bay,Low,S,,LOLA,Chesapeake Bay,37.997583,-76.462051,19.37,0.27,unknown,Jessica Small,102,undetermined,"A,M,G","VERY THIN, polydora",16.13,50,0.3,11.3,0,63,245.6,1960,High,1960,low,4,none,none,none,none,none,none,none,"Low salinity (8-15ppt) selected. It was –made” in 2008 from a number of genetic stocks and was selected at 2yr intervals since then.  Assuming what you have are 2016 animals, I suppose you could say it was selected for 4 generations. ",Louisiana,"Kinsale, VA Lewisetta, VA",none,,
LOLA_2,CB-LOLA,LOLA_2,Chesapeake Bay,Low,S,,LOLA,Chesapeake Bay,37.997583,-76.462051,19.37,0.27,unknown,Jessica Small,90,M,"A,M,G",polydora,16.13,50,0.3,11.3,0,63,245.6,1960,High,1960,low,4,none,none,none,none,none,none,none,"Low salinity (8-15ppt) selected. It was –made” in 2008 from a number of genetic stocks and was selected at 2yr intervals since then.  Assuming what you have are 2016 animals, I suppose you could say it was selected for 4 generations. ",Louisiana,"Kinsale, VA Lewisetta, VA",none,,
LOLA_3,CB-LOLA,LOLA_3,Chesapeake Bay,Low,S,,LOLA,Chesapeake Bay,37.997583,-76.462051,19.37,0.27,unknown,Jessica Small,100,undetermined,"A,M,G",polydora,16.13,50,0.3,11.3,0,63,245.6,1960,High,1960,low,4,none,none,none,none,none,none,none,"Low salinity (8-15ppt) selected. It was –made” in 2008 from a number of genetic stocks and was selected at 2yr intervals since then.  Assuming what you have are 2016 animals, I suppose you could say it was selected for 4 generations. ",Louisiana,"Kinsale, VA Lewisetta, VA",none,,
LOLA_4,CB-LOLA,LOLA_4,Chesapeake Bay,Low,S,,LOLA,Chesapeake Bay,37.997583,-76.462051,19.37,0.27,unknown,Jessica Small,99,F,"A,M,G",polydora,16.13,50,0.3,11.3,0,63,245.6,1960,High,1960,low,4,none,none,none,none,none,none,none,"Low salinity (8-15ppt) selected. It was –made” in 2008 from a number of genetic stocks and was selected at 2yr intervals since then.  Assuming what you have are 2016 animals, I suppose you could say it was selected for 4 generations. ",Louisiana,"Kinsale, VA Lewisetta, VA",none,,
LOLA_5,CB-LOLA,LOLA_5,Chesapeake Bay,Low,S,,LOLA,Chesapeake Bay,37.997583,-76.462051,19.37,0.27,unknown,Jessica Small,83,M,"A,M,G",polydora,16.13,50,0.3,11.3,0,63,245.6,1960,High,1960,low,4,none,none,none,none,none,none,none,"Low salinity (8-15ppt) selected. It was –made” in 2008 from a number of genetic stocks and was selected at 2yr intervals since then.  Assuming what you have are 2016 animals, I suppose you could say it was selected for 4 generations. ",Louisiana,"Kinsale, VA Lewisetta, VA",none,,
LOLA_6,CB-LOLA,LOLA_6,Chesapeake Bay,Low,S,,LOLA,Chesapeake Bay,37.997583,-76.462051,19.37,0.27,unknown,Jessica Small,95,F,"A,M,G",polydora,16.13,50,0.3,11.3,0,63,245.6,1960,High,1960,low,4,none,none,none,none,none,none,none,"Low salinity (8-15ppt) selected. It was –made” in 2008 from a number of genetic stocks and was selected at 2yr intervals since then.  Assuming what you have are 2016 animals, I suppose you could say it was selected for 4 generations. ",Louisiana,"Kinsale, VA Lewisetta, VA",none,,
CLP_1,CB-LSCP,CLP_1,Chesapeake Bay,Low,W,,Chlora's Point,Choptank River- Chesapeake Bay,38.6270278,-76.135671,21.4,12.2,10/3/17,Stephanie Tobash Alexander,122,F,"A,M,G",none,16.13,50,0.3,11.3,0,63,245.6,1960,High,1960,sporadic,none,none,none,none,none,none,none,none,none,wild,none,none,,
CLP_2,CB-LSCP,CLP_2,Chesapeake Bay,Low,W,,Chlora's Point,Choptank River- Chesapeake Bay,38.6270278,-76.135671,21.4,12.2,10/3/17,Stephanie Tobash Alexander,104,undetermined,"A,M,G",none,16.13,50,0.3,11.3,0,63,245.6,1960,High,1960,sporadic,none,none,none,none,none,none,none,none,none,wild,none,none,,
CLP_3,CB-LSCP,CLP_3,Chesapeake Bay,Low,W,,Chlora's Point,Choptank River- Chesapeake Bay,38.6270278,-76.135671,21.4,12.2,10/3/17,Stephanie Tobash Alexander,105,undetermined,"A,M,G",none,16.13,50,0.3,11.3,0,63,245.6,1960,High,1960,sporadic,none,none,none,none,none,none,none,none,none,wild,none,none,,
CLP_4,CB-LSCP,CLP_4,Chesapeake Bay,Low,W,,Chlora's Point,Choptank River- Chesapeake Bay,38.6270278,-76.135671,21.4,12.2,10/3/17,Stephanie Tobash Alexander,113,undetermined,"A,M,G",polydora,16.13,50,0.3,11.3,0,63,245.6,1960,High,1960,sporadic,none,none,none,none,none,none,none,none,none,wild,none,none,,
CLP_5,CB-LSCP,CLP_5,Chesapeake Bay,Low,W,,Chlora's Point,Choptank River- Chesapeake Bay,38.6270278,-76.135671,21.4,12.2,10/3/17,Stephanie Tobash Alexander,100,undetermined,"A,M,G",none,16.13,50,0.3,11.3,0,63,245.6,1960,High,1960,sporadic,none,none,none,none,none,none,none,none,none,wild,none,none,,
CLP_6,CB-LSCP,CLP_6,Chesapeake Bay,Low,W,,Chlora's Point,Choptank River- Chesapeake Bay,38.6270278,-76.135671,21.4,12.2,10/3/17,Stephanie Tobash Alexander,102,undetermined,"A,M,G",none,16.13,50,0.3,11.3,0,63,245.6,1960,High,1960,sporadic,none,none,none,none,none,none,none,none,none,wild,none,none,,
CS_1,DB-HSCS,CS_1,DelBay,High,W,,Cape Shore,"Cape Shore, NJ",38.967468,-74.962118,17.3,19,10/12/16,Ximing Guo,76,M,"A,M",none,20.88,43.29,-2.47,19,0,19.5,156,1960,High,1960,High,none,none,none,none,none,none,none,none,none,wild,none,none,,
CS_2,DB-HSCS,CS_2,DelBay,High,W,,Cape Shore,"Cape Shore, NJ",38.967468,-74.962118,17.3,19,10/12/16,Ximing Guo,84,M,"A,M",none,20.88,43.29,-2.47,19,0,19.5,156,1960,High,1960,High,none,none,none,none,none,none,none,none,none,wild,none,none,,
CS_3,DB-HSCS,CS_3,DelBay,High,W,,Cape Shore,"Cape Shore, NJ",38.967468,-74.962118,17.3,19,10/12/16,Ximing Guo,94,M,"A,M",none,20.88,43.29,-2.47,19,0,19.5,156,1960,High,1960,High,none,none,none,none,none,none,none,none,none,wild,none,none,,
CS_5,DB-HSCS,CS_5,DelBay,High,W,,Cape Shore,"Cape Shore, NJ",38.967468,-74.962118,17.3,19,10/12/16,Ximing Guo,68,M,"A,M",none,20.88,43.29,-2.47,19,0,19.5,156,1960,High,1960,High,none,none,none,none,none,none,none,none,none,wild,none,none,,
CS_6,DB-HSCS,CS_6,DelBay,High,W,,Cape Shore,"Cape Shore, NJ",38.967468,-74.962118,17.3,19,10/12/16,Ximing Guo,67,M,"A,M",none,20.88,43.29,-2.47,19,0,19.5,156,1960,High,1960,High,none,none,none,none,none,none,none,none,none,wild,none,none,,
CS_7,DB-HSCS,CS_7,DelBay,High,W,,Cape Shore,"Cape Shore, NJ",38.967468,-74.962118,17.3,19,10/12/16,Ximing Guo,71,F,"A,M",none,20.88,43.29,-2.47,19,0,19.5,156,1960,High,1960,High,none,none,none,none,none,none,none,none,none,wild,none,none,,
HG_HG0F2,DB-NEHG,HG_HG0F2,RU Inbred,High,inbred,,RU Inbred,"Cape Shore, NJ",38.967468,-74.962118,17.3,19,unknown,Ximing Guo,not provided,not provided,not provided,"parent, female",20.88,43.29,-2.47,19,0,19.5,156,1960,High,1960,High,12,unknown,rotational_crossing,unknown,"Long Island Sound, NY",High_salinity,survival_dermo_msx_hatchery,large_oysters,"parent, female. Selectively bred for disease resistance through 12 generations of hatchery mating of small number of breeders (10 _ 30 per generation). Gynogenetic diploids were produced in 2013 by blocking the release of polar body II with cytochalasin B in eggs from a single female activated by UV-treated sperm (Guo et al. 1993). NH and HG are all NEH oysters and experienced >12 generations of selection. NH is a core NEH subline, while XGH is an inbred NEH subline. All NEH lines were derived from Long Island Sound. NH and other NEH core sublines received new genetic materials from Long Island Sound. They were maintained by rotational crossing with larger Ne (about 50) to minimize inbreeding. HG gynogen was used for genome sequencing
",Long Island Sound,Long Island Sound,none,,
